,title,subtitle,content
0," Confiança da construção cresce 0,2 ponto em agosto, aponta FGV "," O avanço nesta leitura refletiu o crescimento do Índice de Situação Atual, que subiu 1,5 ponto, a 97,0 pontos ","O Índice de Confiança da Construção (ICST) subiu 0,2 ponto em agosto, chegando a 97,5 pontos, com alta pelo quarto mês consecutivo. Com o resultado, o ICST avança 0,4 ponto na média móvel trimestral, conforme divulgou há pouco a Fundação Getulio Vargas (FGV). O avanço nesta leitura refletiu o crescimento do Índice de Situação Atual (ISA-CST), que subiu 1,5 ponto, a 97,0 pontos. Houve, nesta abertura, alta de 1,5 ponto na situação atual dos negócios e de 1,6 ponto no indicador de volume de carteira de contratos. Em contrapartida, o Índice de Expectativas (IE-CST) recuou 1,3 ponto, para 98,0 pontos. Neste mês, o indicador de demanda prevista nos próximos três meses teve queda de 2,6 pontos, enquanto o indicador de tendência dos negócios nos próximos seis meses recuou 0,1 ponto. “A avaliação setorial sobre o ambiente corrente de negócios tem melhorado seguidamente desde o ano passado. O indicador de evolução recente alcançou novo recorde no ano, apontando que a atividade segue aquecida, gerando escassez de trabalhadores qualificados, que em agosto voltou a aumentar. Essa é a principal limitação ao crescimento do setor no cenário atual”, ressaltou, em nota, a coordenadora de Projetos da Construção do Ibre/FGV, Ana Maria Castelo. Ela destacou que o Indicador de Expectativas devolveu parte da alta de julho, com as oscilações provavelmente influenciadas pelas pautas do cenário macroeconômico, agora sob efeito da possibilidade de elevação de juros. “Mas os fundamentos setoriais continuam positivos e, apesar da queda na margem, a maioria das empresas sinaliza que a demanda prevista para os próximos meses aumentará e os negócios irão melhorar”, ponderou. O Nível de Utilização da Capacidade (Nuci) da Construção, por sua vez, avançou 0,5 ponto nesta leitura, atingindo 80,0%. O Nuci de mão de obra subiu 0,6 ponto, a 81,4%, enquanto o Nuci de Máquinas e Equipamentos avançou 0,5 ponto, a 74,6%."
1," Seca preocupa em relação à redução dos níveis dos reservatórios, diz diretor-geral da Aneel ", Há especulação no setor sobre a definição de bandeira amarela na conta de luz em setembro ,"O diretor-geral da Agência Nacional de Energia Elétrica (Aneel), Sandoval Feitosa, disse nesta terça-feira, 27, que a seca é um motivo de preocupação do órgão regulador, em função do impacto dos níveis dos reservatórios do País. Ele negou uma definição prévia sobre bandeira tarifária para setembro, que será divulgada na sexta-feira. Sobre o aumento das queimadas, o diretor comentou que as linhas de transmissão estão em estado de segurança, até o momento. O Broadcast (sistema de notícias em tempo real do Grupo Estado) mostrou em julho que o órgão regulador precisou retirar recursos da fiscalização para evitar uma paralisação do sistema que monitora as principais linhas de transmissão do País – Sistema de Gestão Geoespacializada da Transmissão (GGT), principal instrumento para prevenção de queimadas nesses pontos. Essa infraestrutura da rede elétrica passa por biomas que, atualmente, estão sendo afetados pelo fogo. O GGT monitora 102 linhas de transmissão espalhadas pelo País, com 43 mil quilômetros em linhas de transmissão. “Essas linhas de transmissão, que são as estratégicas e que são monitoradas, não acompanham a tendência de queimadas. Nós temos a segurança, até o momento, essa supervisão tem trazido segurança para a operação das linhas”, disse. Em outra frente, há especulação no setor sobre a definição de bandeira amarela na conta de luz em setembro, devido à queda no nível dos reservatórios com a seca em todo o País. Sandoval negou uma prévia definição, mas reconheceu que o cenário climático de seca é “sempre” motivo de procuração. “A seca preocupa com o que se refere à redução dos níveis dos nossos reservatórios e também com relação à confiabilidade das linhas de transmissão, mas neste momento nós temos tido êxito na confiabilidade das linhas de transmissão”, avaliou."
2, Governo usará dinheiro do Orçamento para tentar incentivar indústria naval , Medida provisória é nova tentativa de incentivar a retomada do segmento — demanda do presidente Lula a ministros e membros da estatal ,"O governo Lula publicou nesta terça-feira (27) uma medida provisória (MP) que usa dinheiro do Orçamento para incentivar a indústria naval, em um mecanismo conhecido como “depreciação acelerada”. A gestão federal vai renunciar de R$ 1,6 bilhão do ano que vem que para tentar impulsionar o setor. O benefício poderá ser utilizado para navios-tanque que sejam comprados até o fim de 2026 e terá vigência de 2027 a 2031. Assim, os custos da renúncia fiscal vão constar nas peças orçamentárias a partir de 2027. A expectativa do governo é de isso permita a construção de mais 15 embarcações de médio porte para cabotagem de petróleo e derivados ao longo da costa brasileira. Desde o início de seu mandato, o presidente Lula orienta seus quadros, desde ministros a membros de estatais, para o desenvolvimento do segmento. O Brasil chegou a ter a segunda maior indústria naval do mundo entre os anos 1960 e 1970, ficando atrás apenas do Japão. Os primeiros governos do petista foram marcados pela intensificação do investimento no setor, que chegou a empregar 82 mil pessoas em 2014. Nos governo posteriores, a trajetória do setor voltou a um “vale”, com os postos de empregos reduzidos a 21 mil em 2019. A maior parte do impulso ao setor sob Lula até então veio do Fundo da Marinha Mercante (FMM), que é operado pelo BNDES e empresta dinheiro a juro baixo. Nos primeiros 18 meses de governo, foram priorizados R$ 25 bilhões em projeto, valor superior ao total da gestão anterior. Em outra frente, a Transpetro, subsidiária da Petrobras para transporte de combustíveis, trabalha programa de ampliação de frotas que prevê a contratação de 25 navios. Uma das missões dadas por Lula a Magda Chambriard ao indicá-la à presidência da estatal foi acelerar os planos da companhia para incentivo ao segmento. A CNN ouviu atores do setor naval, que receberam com otimismo a medida provisória de Lula. Para os consultados, o texto levará investimentos ao setor, que vão compensar a renúncia do governo federal. Segundo cálculos da gestão federal, este incentivo movimentará R$ 2,4 bilhões e gerará R$ 824 milhões em tributos indiretos. Toda vez que adquire bens de capital, uma indústria pode abater o valor dessas máquinas ao pagar IRPJ e CSLL no futuro. Com a depreciação acelerada, o abatimento pode ocorrer antes que o previsto, reforçando o caixa das empresas. Não se trata de uma isenção tributária, portanto, mas de uma mudança no fluxo."
3," Confiança do consumidor dos EUA cresce em agosto, mas tensão sobre mercado de trabalho permanece "," O Conference Board informou que seu índice de confiança do consumidor subiu para 103,3 neste mês, de 101,9 em dado revisado para cima em julho ","A confiança dos consumidores dos Estados Unidos aumentou em agosto, mas os norte-americanos estão ficando mais ansiosos sobre o mercado de trabalho no país. O Conference Board informou nesta terça-feira (27) que seu índice de confiança do consumidor subiu para 103,3 neste mês, de 101,9 em dado revisado para cima em julho. Economistas consultados pela Reuters previam que o índice oscilaria pouco em relação aos 100,3 relatados anteriormente. “As avaliações dos consumidores sobre a situação atual do trabalho, embora ainda positivas, continuaram enfraquecendo, e as avaliações do mercado de trabalho no futuro foram mais pessimistas”, disse Dana Peterson, economista-chefe do Conference Board. A parcela de consumidores que veem os empregos como “abundantes” caiu de 33,4% em julho para 32,8%. Cerca de 16,4% dos consumidores disseram que os empregos são “difíceis de conseguir”, acima dos 16,3% do mês passado. O chair do Federal Reserve, Jerome Powell, sinalizou na sexta-feira passada que cortes de juros ocorrerão em breve, em um aceno às crescentes preocupações sobre o mercado de trabalho. Os mercados esperam que o banco central dos EUA inicie seu ciclo de afrouxamento monetário no próximo mês, com uma redução de 25 pontos-base na taxa, embora um corte de 50 pontos-base não possa ser descartado. O Fed tem mantido sua taxa de juros na faixa atual de 5,25% a 5,50% por mais de um ano, tendo elevado-a em 525 pontos-base em 2022 e 2023. As expectativas de inflação dos consumidores em 12 meses caíram para 4,9%, o menor nível desde março de 2020."
4," Lula critica modelo de gestão da Vale e diz que “cachorro com muito dono, morre de fome” "," A escolha do novo CEO sepulta meses de indefinição após o fim do mandato do atual presidente, Eduardo Bartolomeo ","O presidente Luiz Inácio Lula da Silva (PT) criticou o modelo de gestão da Vale e disse que, com tantas participações societárias, nas quais “um monte de gente” tem 2% e 3% da companhia, é como um “cachorro de muito dono”, que morre de fome e sede. “A Vale, que tinha uma diretoria, eu sabia quem era o presidente, a gente sabia quem era. Hoje nessa discussão que a gente está, de fazer um acordo para receber dinheiro de Mariana, o dinheiro que prometeram pro povo, você não tem dono. Uma tal de corporate que não tem dono, monte de gente com 2%, monte de gente com 3%. É que nem cachorro de muito dono, morre de fome, morre de sede porque todo pensa que colocou água, todo mundo pensa que deu comida e ninguém colocou”, disse. Lula seguiu dizendo que se chegou “no cúmulo da ignorância”, em que as estatais estavam “praticamente proibidas de vender serviço ao estado, mesmo que oferece preço mais barato”. “É ignorância levada a sétima potência, um estado que não se respeita, governo que não tem visão de estado, tem coisas que tem ser inexoravelmente do estado. É assim na Alemanha, EUA, França”, pontuou. As falas foram feitas em visita do presidente ao Centro de Operações Espaciais Principal (Cope-P) da Telebras, em Brasília, e ocorrem um dia após o Conselho de Administração da Vale escolher Gustavo Pimenta, atual vice-presidente de Finanças e Relações com Investidores, como novo presidente da companhia. Ele assume o comando da empresa em 28 de fevereiro de 2025. A escolha do novo CEO sepulta meses de indefinição após o fim do mandato do atual presidente, Eduardo Bartolomeo, que terminou em maio, mas vai ficar até a transição para o novo comando. Nesse meio tempo, houve a tentativa de emplacar um aliado de Lula no comando da mineradora — o nome cogitado foi do ex-ministro da Fazenda Guido Mantega."
5, Entenda os possíveis impactos dos incêndios em SP para agropecuária do estado ," Na manhã desta terça-feira (27), os contratos futuros do açúcar bruto saltavam na bolsa de NY com os prejuízos gerados pelos incêndios em SP ","O estado de São Paulo tem contabilizado os prejuízos causados pelas queimadas que atingiram o território paulista na última semana. A agropecuária no estado foi fortemente impactada pelos incêndios, cujos focos, segundo a Defesa Civil de SP, foram contidos. Ainda assim, 48 municípios permaneciam em alerta máximo. Conforme informação pelo Palácio dos Bandeirantes dada à CNN na segunda-feira (26), a perda de São Paulo com as queimadas já está estimada em R$ 1 bilhão.  Entenda os principais impactos dos incêndios em São Paulo para a agropecuária do estado.   Os incêndios queimaram milhares de hectares de canaviais no Brasil, o maior produtor de açúcar do mundo. Às 11h23 desta terça-feira (27), os contratos futuros do açúcar bruto saltavam 1,68% na bolsa de Nova York, cotados a US$ 19,36. Na segunda (26), o açúcar bruto fechou em alta de 3,5%, a US$ 19,04 centavos por libra-peso, após os incêndios. As queimadas deverão impactar também os preços do etanol no próximo ciclo, segundo a Organização de Associações de Produtores de Cana do Brasil (Orplana). O estado de São Paulo responde por cerca de metade do plantio de cana do Brasil. Segundo a Orplana, o fogo atingiu mais de 1% das lavouras paulistas. Foram identificados mais de 2,1 mil focos de incêndios em canaviais, que resultaram em cerca de 59 mil hectares queimados em áreas de cana-de-açúcar e áreas de rebrota da lavoura. O prejuízo com as queimadas em canaviais no estado de São Paulo, maior produtor de cana do Brasil, está estimado em R$ 350 milhões . Espera-se que a União da Indústria de Cana-de-Açúcar e Bioenergia (Unica) divulgue nesta semana os dados de produção para a primeira metade de agosto. Uma pesquisa da S&P Global Commodities Insights indica que a produção de açúcar no período foi de 3,28 milhões de toneladas métricas, 5% abaixo do ano anterior. A São Martinho SA e a Raízen SA, duas das maiores produtoras de cana-de-açúcar do Brasil, estimaram os prejuízos gerados pelos incêndios. Segundo elas, cerca de 20 mil hectares de cana-de-açúcar da companhia foram atingidos. Segundo a São Martinho, a estimativa é que a redução tenha sido de 110 mil toneladas de açúcar, que será compensada por um aumento proporcional na produção de etanol. De acordo com a empresa, a cana-de-açúcar atingida será processada nos próximos dias, “sem impactos significativos no Açúcar Total Recuperável – ATR em relação ao Guidance de Produção para Safra 2024/2025, mas com redução na eficiência industrial na conversão em açúcar”. A Raízen informou que cerca de 1,8 milhão de toneladas de cana-de-açúcar própria e de fornecedores foram afetadas pelos incêndios. O volume representa “2% do total previsto na safra 2024/25, com base no piso da premissa de moagem total”, disse a companhia. “Com essa medida, esperamos que as perdas e impactos em nossos resultados sejam imateriais”, acrescentou. O Governo do estado de SP lançou no domingo (25) um pacote de ações no total de R$ 100 milhões destinado aos produtores rurais atingidos pelos incêndios florestais. Cada produtor afetado terá acesso a R$50 mil, com juro zero, para custos emergenciais, como despesas de manutenção e recuperação da produção. Além disso, qualquer produtor prejudicado possui direito à subvenção ao seguro rural. O Governo de SP, por meio da Secretaria de Agricultura e Abastecimento, disponibilizou o valor recorde de R$ 100 milhões neste ano. O limite, por produtor rural, é de R$ 25 mil reais para amenizar os impactos das perdas de produção, além dos recursos para custeios emergenciais. Segundo dados do Instituto de Economia Agrícola, da Secretaria de Agricultura e Abastecimento do Estado, para o agronegócio, as exportações setoriais de São Paulo representaram 17,9% do agronegócio brasileiro, no primeiro quadrimestre de 2024, alta de 2,3 pontos percentuais ante o mesmo período de 2023. Também segundo o Instituto, as exportações do agronegócio paulista representavam 42,8% no total do estado, entre janeiro a abril de 2024. No mesmo período, o setor agrícola do estado de São Paulo registrou um superávit de US$ 7,5 bilhões, alta de 21,7% ante o mesmo período do ano anterior. *Com informações da Reuters"
6," Prévia da inflação de agosto reduz pressão sobre juros, dizem analistas "," Índice ficou em 0,19% no mês, após ter registrado 0,30% no mês anterior. Nos últimos 12 meses, a variação do IPCA-15 foi de 4,35%, abaixo dos 4,45% observados nos 12 meses imediatamente anteriores ","O argumento em defesa de uma manutenção da taxa Selic em 10,50% ao ano na reunião de setembro do Comitê de Política Monetária (Copom) ganhou força nesta terça-feira (27) após o Índice Nacional de Preços ao Consumidor Amplo 15 (IPCA-15) registrar uma desaceleração no mês de agosto. Visto como uma prévia da inflação oficial, o índice ficou em 0,19% no mês, após ter registrado 0,30% no mês anterior. Nos últimos 12 meses, a variação do IPCA-15 foi de 4,35%, abaixo dos 4,45% observados nos 12 meses imediatamente anteriores. Em agosto de 2023, a taxa foi de 0,28%. Economistas e consultorias entendem que o resultado aponta para a tendência corrente de queda da inflação. Soma-se a isso, a avaliação de que um recuo de juros nos Estados Unidos – praticamente antecipado pelo presidente do Federal Reserve, Jerome Powell, na semana passada – também beneficia o Brasil para prosseguir no afrouxamento da política monetária. “A tendência de queda da inflação corrente está em curso. Assim, reforçamos nossa expectativa de que o IPCA de agosto, contribuirá para a manutenção da Selic em 10,50% em setembro”, avalia a Ativa Investimentos em nota. A corretora esperava uma desaceleração ainda maior para agosto, apostando em alta de 0,13%. No entanto, liga a queda menor como uma “surpresa pontual”. Na avaliação da economista para Brasil no BNP Paribas, Laiz Carvalho, o índice também ratifica a projeção de que o Copom manterá os juros no próximo encontro. A instituição esperava uma alta de 0,14% no mês. Na opinião do BNP, a composição geral do IPCA veio “muito boa”, mas ainda há sinais de alerta. “Quando olhamos a média móvel dos últimos três meses sazonalizada, os serviços subjacentes ainda preocupam um pouco, é algo que o BC acaba olhando bastante de perto e que traz uma preocupação bastante grande desses serviços. Então, este ainda é um sinal de cautela. Mas, de maneira geral, é uma composição de IPCA muito boa”, conclui. O Inter avalia que a tendência de queda deve se manter nos próximos meses, prevendo que o IPCA consolidado deve ser ainda menor que o IPCA-15. “O dado de hoje contribui para não aumentar ainda mais a pressão sobre os juros. Com a expectativa de uma inflação menor em agosto e o início do ciclo de cortes nos juros americanos, mantemos a expectativa de Selic constante pelo futuro próximo”, diz a instituição em seu comunicado. Por outro lado, chama a atenção para os números dos serviços. No período, o resultado do segmento desacelerou, recuando de 0,70% em julho para 0,29% em agosto. “Apesar da desaceleração do item em agosto, no acumulado em 12 meses a tendência ainda é de alta, com a inflação de serviços alcançando 5,14%, enquanto a de subjacentes subiu para 4,97%”. Ainda que exista a pressão no grupo dos serviços, a leitura do C6 é de que a Selic deve ser mantida em setembro. Para 2025, a projeção do banco é de que os juros terminem o ano em 9%. “O resultado do IPCA-15 reforça nossa visão de que a Selic deve ser mantida em 10,5% até o final de 2024. Por ora, acreditamos que os fundamentos observados pelo Banco Central não indicam a necessidade de um aperto adicional na política monetária”, avalia o C6. Apesar do número ter o potencial de aliviar as pressões sobre a política monetária, a análise de manutenção da Selic em setembro ainda não está disseminada no mercado. Para o economista-chefe da MB Associados, Sérgio Vale, a desaceleração já era esperada e não impede uma inflação próxima do teto este ano, nem muda as expectativas para 2025. Em sua avaliação, a atividade econômica segue forte, o que contribui para a decisão do BC de elevar os juros. Contudo, Vale não enxerga a necessidade de uma postura enérgica do Copom: “Isso [o dado] reforça apenas a ideia de que a alta deve ser moderada, não havendo necessidade de nada muito agressivo”. Paulo Gala, economista-chefe do Banco Master, cita alguns fatores que corroboram para uma leitura da necessidade de um pequeno ciclo de alta dos juros a partir de setembro. “A expectativa para o ano está acima de 4%. A expectativa para o próximo ano caminha para acima de 4% e, para 2026, está em 3,60%. Portanto, as expectativas estão desancoradas. A economia está muito aquecida, algumas casas colocando um crescimento de 3% este ano… um mercado de trabalho muito apertado. Apolítica de transferência de renda do governo criou um mecanismo de expansão de demanda muito forte. […] Mesmo com Selic alta, a economia cresce e começa a pressionar a capacidade instalada”, diz Gala. Para o Itaú, o setor de serviços deve seguir pressionado pelo mercado de trabalho apertado nos próximos meses. Já o Pic Pay cita como riscos e coloca sob monitoramento monitoramos uma maior resiliência na inflação de serviços, a desvalorização do real frente ao dólar e a desancoragem das expectativas em um contexto de percepção de risco fiscal no Brasil."
7, TCU aponta cenário preocupante para a consolidação do Orçamento de 2025 , Acórdão do tribunal de contas alerta para crescimento das despesas sem acompanhar a evolução das despesas ,"Um acórdão do Tribunal de Contas da União (TCU) esmiuçou um relatório de fiscalização produzido no âmbito da Unidade de Auditoria Especializada em Orçamento, Tributação e Gestão Fiscal (AudFiscal) sobre o Projeto de Lei de Diretrizes Orçamentárias da União para o exercício financeiro de 2025 (PLDO 2025) — e traz duros recados para o governo de Luiz Inácio Lula da Silva (PT). De acordo com o documento, apesar das estimativas para a receita primária líquida apresentadas no Projeto de Lei de Diretrizes Orçamentárias para 2025 serem otimistas, os aumentos das despesas acima da inflação, “ultrapassam o limite de crescimento real de 2,5% ao ano em 2025 e 2026”. De acordo com o TCU, portanto, as receitas do governo “parecem não ser suficientes para recuperar os níveis das despesas discricionárias, resultando em queda acentuada a partir de 2024”. As despesas discricionárias são aquelas que não são obrigatórias. “Como consequência, as projeções para o resultado primário apresentam duplo risco, em decorrência da possibilidade de frustrações de receitas, aumentos de despesas obrigatórias e limitação de contingenciamento a 25% das despesas discricionárias”, segundo o TCU. Conforme o relatório de acompanhamento, o volume de recursos previstos como receitas primárias líquidas e das despesas primárias do governo para 2025 para  R$ 2.319,7 trilhões e R$ 2.348,8 bilhões, respectivamente. Ou seja, o governo arrecadará menos do que gastará e fechará o ano que vem em déficit, segundo as projeções. O Tribunal de Contas da União alerta para a a redução das despesas discricionárias e emendas e mínimos constitucionais de saúde e educação, cujas estimativas caem de R$ 100,9 bilhões, em 2024, para R$ 11,7 bilhões, em 2028, numa redução de 88% no período. O relator, o ministro Antonio Anastasia, alerta para “riscos para o funcionamento regular da administração pública nos próximos anos”, assim como para a “preservação do limite da despesa primária”, como instituído pelo novo arcabouço fiscal. De acordo com o texto, a ausência da estimativa das despesas discricionárias líquidas de emendas e mínimos constitucionais para saúde e educação “não permite a adequada transparência e avaliação sobre a trajetória sustentável da dívida pública”. “A ausência de detalhamento dos valores que compõem o cálculo da proporção de recursos para investimentos que serão alocados na lei orçamentária anual para o atendimento dos investimentos em andamento, bem como para os dois exercícios subsequentes, não permite a adequada transparência e avaliação sobre a previsão dos agregados fiscais e a proporção dos recursos para investimentos”, diz o documento."
8," Aneel aprova edital do leilão de transmissão com R$ 3,3 bilhões estimados em investimentos "," As instalações estarão distribuídas em seis Estados e deverão gerar cerca de 7 mil empregos diretos e indiretos, estimou a Aneel ","A diretoria da Agência Nacional de Energia Elétrica (Aneel) aprovou nesta terça-feira (27) o edital do segundo leilão de transmissão deste ano, com projetos que deverão exigir ao todo R$ 3,35 bilhões em investimentos. Marcado para 27 de setembro, o certame oferecerá três lotes, prevendo a construção de 784 quilômetros de linhas e novas subestações com 1.000 megavolt-ampères (MVA) em capacidade de transformação. As instalações estarão distribuídas em seis Estados (Bahia, Espírito Santo, Minas Gerais, Paraná, Santa Catarina e São Paulo) e deverão gerar cerca de 7 mil empregos diretos e indiretos, estimou a Aneel. Um dos lotes envolve instalações já existentes, mantidas hoje pela ISA Cteep, cujo contrato de concessão vence nos próximos meses. Esses ativos, que somam 163 km de linhas e subestações de 300 MVA, serão novamente licitados. A Aneel decidiu retirar da licitação um dos lotes que estava inicialmente previsto para ser leiloado. O projeto, que será construído no Rio Grande do Sul, passará por uma reavaliação de traçado após os eventos climáticos extremos que atingiram o Estado em maio."
9, Empresas devem preencher relatório de transparência salarial até sexta (30) ," Empregadores devem acessar o Portal Emprega Brasil, do Ministério do Trabalho e Emprego (MTE), para inserir as informações do relatório ","As empresas com 100 ou mais funcionários devem preencher, até sexta-feira (30), o segundo Relatório de Transparência Salarial e de Critérios Remuneratórios de 2024, conforme determina a Lei de Igualdade Salarial (Lei 14.611/2023), que estabelece a igualdade salarial e de critérios de remuneração entre mulheres e homens para a realização de trabalho igual. O objetivo do governo federal é verificar se há diferenças salariais por gênero e tornar pública a realidade remuneratória dos trabalhadores nas empresas e as políticas de incentivo à contratação e promoção na perspectiva de gênero. Os empregadores devem acessar o Portal Emprega Brasil, do Ministério do Trabalho e Emprego (MTE), para inserir as informações do relatório. Na página, há indicações de como as empresas devem se cadastrar e suas filiais, além de identificar as pessoas físicas que irão representar as instituições. Esses representantes devem ter login no portal único de serviços digitais do governo federal, o Gov.br e devem responder a cinco questões do questionário complementar. Até a quinta-feira passada (22), mais de 10,5 mil empresas tinham preenchido os dados. A partir das informações disponibilizadas, o Ministério do Trabalho produzirá outro relatório, com dados gerais de cada empreendimento, que será disponibilizado às empresas até 16 de setembro. Não há possibilidade de dados individuais serem divulgados para evitar a identificação de situações únicas. Após a entrega do documento sobre a situação de transparência salarial no país, as empresas deverão publicar os dados gerais do relatório gerado em locais acessíveis, como sites, redes sociais ou outros meios similares, até 30 de setembro. A divulgação deve ser ampla, visando alcançar seus empregados, trabalhadores e o público em geral. Se uma empresa não garantir a visibilidade dessas informações, por meio da publicação dos relatórios, o MTE aplicará uma multa administrativa correspondente a até 3% da folha de salários, com o teto de 100 salários mínimos (R$141,2 mil). Outras sanções por discriminação salarial e critérios remuneratórios entre homens e mulheres podem ser aplicadas, quando for o caso. Em 30 de setembro, o MTE e o Ministério das Mulheres deverão fazer a divulgação de dados gerais dos relatórios entregues, como foi feito no primeiro Relatório de Transparência Salarial e de Critérios Remuneratórios de 2024, em maço deste ano. Em casos de discriminação salarial e de desigualdades apontadas no relatório de transparência, a legislação define que um plano de ação deverá ser elaborado pela empresa infratora em até 90 dias, após o recebimento da primeira notificação. Representantes das entidades sindicais têm a participação garantida em lei na elaboração e na implementação do plano de ação. Se verificada a reincidência das desigualdades salariais de um mesmo CNPJ, a legislação prevê que seja lavrado um auto de infração pela auditoria-fiscal do trabalho. A empresa tem o prazo de dez dias para apresentação de defesa administrativa. As pessoas jurídicas com 100 ou mais empregados devem adotar medidas para garantir essa igualdade, incluindo transparência salarial, fiscalização contra discriminação, canais de denúncia, programas de diversidade e inclusão, e apoio à capacitação de mulheres. Ao todo, 49.587 empresas com 100 ou mais funcionários em 31 de dezembro de 2023 prestaram as informações exigidas pela nova legislação. Os dados do primeiro relatório de transparência salarial, divulgado em março deste ano, revelaram que as mulheres ganham 19,4% a menos do que os homens na mesma função. O documento mostrou, por exemplo, que a remuneração média no Brasil é de R$ 4.472. Os homens não negros recebem R$ 5.718; as mulheres não negras aparecem na sequência, com R$ 4.452. Já os homens negros ganham R$ 3.844 e as mulheres negras têm salários médios de R$ 3.041. As mulheres ocupam apenas 38% dos cargos de liderança no mercado de trabalho brasileiro. O Brasil não é um caso isolado de diferenças salariais de gênero. O relatório Mulheres, Empresas e o Direito do Banco Mundial, publicado em 2024, indica a disparidade global de gênero. Denúncias de desigualdade salarial podem ser realizadas pelo site da Carteira de Trabalho Digital ou no ou aplicativo para smartphones desenvolvido pelo Ministério do Trabalho e Emprego nos sistemas Android e iOS. Antes, é preciso acessar o portal Gov.br. Para esclarecer eventuais dúvidas sobre a lei, o Ministério das Mulheres, em parceria com o Ministério do Trabalho e Emprego, tem a Cartilha Tira-Dúvidas: Lei da Igualdade Salarial e de Critérios Remuneratórios entre Mulheres e Homens, com informações destinadas aos trabalhadores e a empregadores."
